"outcome","b","odds.ratio","odds.ratio.CI"
"(Intercept):both_fn",-1.322,0.267,"0.089-0.803"
"(Intercept):human_fn",-1.322,0.267,"0.089-0.803"
"(Intercept):merlin_fn",-2.015,0.133,"0.03-0.583"
