"species.code","obs","RC1","RC2","RC3","RC4","RC5","RC6","RC7","RC8","RC9","RC10","sum"
"PIWA","merlin",0,0,0,0,0,0,0,0,0,0,0
"PIWO","merlin",0,0,0,1,0,1,0,0,0,0,2
"PUFI","merlin",0,0,0,0,0,0,0,1,0,0,1
"RBNU","merlin",0,1,1,0,0,0,0,0,0,1,3
"RECR","merlin",0,0,0,0,0,0,0,0,0,0,0
"REVI","merlin",1,0,1,1,0,0,0,1,1,1,6
"RTHA","merlin",0,0,0,0,0,1,0,0,0,0,1
"RWBL","merlin",1,0,0,0,0,0,0,0,0,0,1
"SOSP","merlin",0,0,0,0,1,0,0,0,0,0,1
"SWSP","merlin",0,1,0,0,1,0,0,0,0,0,2
"SWTH","merlin",0,0,0,0,1,0,0,0,0,0,1
"WOTH","merlin",0,1,0,1,1,0,0,0,0,1,4
"WTSP","merlin",1,1,0,1,1,0,0,0,0,0,4
"WWCR","merlin",0,0,0,0,0,0,0,0,0,0,0
"YEWA","merlin",0,0,0,0,1,0,0,0,0,0,1
"YRWA","merlin",1,1,1,1,1,1,0,0,1,0,7
"AGOL","playback",1,1,1,1,1,0,1,1,0,0,7
"AMCR","playback",1,1,1,0,1,1,0,1,1,0,7
"AMPI","playback",0,0,1,0,0,0,0,0,0,0,1
"AMRO","playback",1,1,1,1,1,1,0,0,1,1,8
"BADO","playback",0,0,0,0,0,0,0,0,0,0,0
"BAWW","playback",1,0,0,1,1,1,0,0,0,0,4
"BBPL","playback",0,0,0,0,0,0,0,0,0,0,0
"BCCH","playback",1,1,1,1,1,1,1,1,0,1,9
"BHVI","playback",1,1,1,0,1,0,0,0,0,0,4
"BLJA","playback",1,1,0,1,1,1,1,1,1,0,8
"BLPW","playback",0,0,0,0,0,0,0,0,0,0,0
"BRCR","playback",1,1,0,1,0,0,1,0,0,0,4
"BTNW","playback",1,1,1,1,1,1,0,1,1,1,9
"BWHA","playback",1,0,1,0,0,0,0,0,0,0,2
"CAWA","playback",0,0,0,0,0,0,0,0,0,0,0
"CEDW","playback",1,0,0,0,1,1,1,0,0,1,5
"CHSP","playback",0,0,0,0,1,0,0,0,0,0,1
"CMWA","playback",0,0,0,0,0,0,0,0,0,0,0
"COHA","playback",0,0,0,0,0,0,0,0,0,0,0
"CORA","playback",1,1,1,0,0,0,0,0,0,1,4
"COYE","playback",0,1,0,0,0,0,1,0,0,0,2
"DEJU","playback",0,0,0,1,1,0,0,1,1,0,4
"DOWO","playback",0,0,0,0,1,0,0,0,0,0,1
"EAKI","playback",0,0,0,0,1,0,0,0,0,0,1
"EAPH","playback",0,0,0,0,1,0,0,0,0,0,1
"GCKI","playback",1,1,1,1,1,0,1,1,1,1,9
"GRCA","playback",0,0,1,0,0,0,0,0,0,0,1
"HAWO","playback",1,0,0,1,1,0,0,0,0,0,3
"HERG","playback",0,0,0,0,0,0,0,0,0,0,0
"HETH","playback",1,1,1,1,1,1,1,1,1,1,10
"HOFI","playback",0,1,0,0,0,0,0,0,0,0,1
"INBU","playback",0,0,0,0,0,0,0,0,0,0,0
"LEFL","playback",0,0,0,0,1,0,0,0,0,0,1
"MAWA","playback",0,1,0,0,1,1,0,0,0,0,3
"MODO","playback",0,0,1,0,0,1,1,0,1,0,4
"NAWA","playback",0,0,1,1,0,1,1,0,0,0,4
"NOCA","playback",0,0,0,0,0,0,0,0,0,0,0
"NOFL","playback",0,0,0,0,1,0,0,1,1,0,3
