"species.code"
"AGOL"
"AMCR"
"AMPI"
"AMRO"
"BADO"
"BAWW"
"BCCH"
"BHVI"
"BLJA"
"BLPW"
"BRCR"
"BTBW"
"BTNW"
"BWHA"
"CANG"
"CEDW"
"CHSP"
"COGR"
"COHA"
"CORA"
"COYE"
"DEJU"
"DOWO"
"EAKI"
"EAPH"
"EWPW"
"GCKI"
"GRCA"
"HAWO"
"HERG"
"HETH"
"HOFI"
"LEFL"
"MAWA"
"MODO"
"NAWA"
"NOFL"
"NOPA"
"OSPR"
"OVEN"
"PAWA"
"PISI"
"PIWA"
"PIWO"
"PUFI"
"RBNU"
"RECR"
"REVI"
"RTHU"
"SAVS"
"SOSP"
"SWTH"
"VEER"
"WTSP"
"WWCR"
"YBFL"
"YRWA"
